benchmark (url)	task (url)	answer_correctness_score	answer_correctness_justification	prompt_clarity_score	prompt_clarity_justification	capability_targeting_score	capability_targeting_justification	code_quality_score	code_quality_justification	documentation_score	documentation_justification	sum_of_scores	human_calibrated_judge_rating
[RIAC - Repetition-Induced Attention Collapse](https://www.kaggle.com/benchmarks/shankhasuvromullick/riac-repetition-induced-attention-collapse)	Repetition-Induced Attention Collapse (Numbers)	0.7	Task scores are calculated based on clean numeric extraction from the model's output compared with ground truth values from deterministic random-generated sequences. There is zero subjective judging.	0.7	Prompt instructions are highly explicit, setting a strict response schema (structured markdown) and specifying target numbers to ignore or monitor.	0.3	Tests repetitive attention load. However, the model may bypass inhibitory control through standard parsing mechanisms without actually demonstrating cognitive attention collapse in a multi-modal or multi-task context.	1.0	The code is modular, uses the official kaggle-benchmarks task decorators, and properly tracks assertions using assert_contains_regex and assert_true.	1.0	The writeup provides a comprehensive theoretical motivation, detailed construction explanation, and clear results section with statistical insights.	3.7	95.5
[RIAC - Repetition-Induced Attention Collapse](https://www.kaggle.com/benchmarks/shankhasuvromullick/riac-repetition-induced-attention-collapse)	Repetition-Induced Attention Collapse (Words)	0.7	Evaluated objectively by extracting words from model responses and matching against generated sequences.	0.7	Clear instructions, including markdown block formatting and explicit rules for distractor items.	0.3	Aims to test semantic repetition and attention overload, but lacks real-world or multi-modal complexity to prevent simple text processing workarounds.	1.0	Well-implemented task scripts utilizing standard library decorators and assertions.	1.0	Highly detailed writeup explaining the task design, experimental controls, and findings.	3.7	95.5
[RIAC - Repetition-Induced Attention Collapse](https://www.kaggle.com/benchmarks/shankhasuvromullick/riac-repetition-induced-attention-collapse)	Repetition-Induced Attention Collapse (Symbols)	0.7	Objective accuracy scoring against generated symbolic sequences.	0.7	Unambiguous formatting constraints and specific guidance for ignoring distractors.	0.3	Measures attention overload, but symbolic filtering alone is not a complete test of inhibitory control.	1.0	Properly structured task implementation utilizing kbench decorators and assertions.	1.0	Clean, informative documentation with statistical details on model performance drops under load.	3.7	95.5
[RIAC - Repetition-Induced Attention Collapse](https://www.kaggle.com/benchmarks/shankhasuvromullick/riac-repetition-induced-attention-collapse)	Repetition-Induced Attention Collapse (Noise)	0.7	Deterministic and automatic exact match scoring.	0.7	Clear and complete system prompts outlining response constraints and noise filters.	0.3	Isolates attention load but suffers from the same vulnerability to text-processing shortcuts.	1.0	Clean, modular code conforming to SDK standards.	1.0	Thorough writeup explaining dataset generation and failure analysis.	3.7	95.5
[Can LLMs Inhibit Optimization in Supply-Chain Decision-Making?](https://www.kaggle.com/benchmarks/honganzhu/bounded-rationality-benchmark)	beer_game_baseline	0.7	Scored using Delta NLL (negative log likelihood) calculated analytically based on human behavior data from Sterman (1989). Ground truth human actions are static, making the metric fully deterministic and objective.	0.7	Very clear and detailed description of the Beer Game state (inventory, backlog, pipeline) and actions, with explicit output formatting constraints.	0.6	Directly targets the capability of models to simulate bounded rational human behavior (and suppress the default rational optimization policy) under delayed feedback.	1.0	Highly modular code, cleanly implementing the game simulation pipelines, LOHO calculations, and utilising standard kbench assertions.	1.0	Extremely detailed writeup outlining the problem statement, math formulas, results across model variants, and statistical correlation findings.	4.0	93.7
[Can LLMs Inhibit Optimization in Supply-Chain Decision-Making?](https://www.kaggle.com/benchmarks/honganzhu/bounded-rationality-benchmark)	beer_game_prompt	0.7	Fully objective scoring using Delta NLL calculations against human benchmarks.	0.7	Explicitly details the game state and adds qualitative bounded-rationality heuristic guidelines, instructing the model on how to reason like a human.	0.6	Accurately targets inhibitory control by verifying if the model can follow heuristic constraints rather than defaulting to optimization.	1.0	Clean, modular code structure sharing game simulation logic and asserting model validation requirements.	1.0	Clear writeup documenting the experiment design and showing how heuristic prompting impacts Delta NLL scores.	4.0	93.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	Embodied Inhibitory Control - Text Only Test	0.7	Scored based on exact match constraints. Success is determined programmatically: the model must WAIT while distance > 0 and GO only when it reaches 0. Fully automated and objective.	0.7	Prompt clearly describes the 3D environment, the goals (green and yellow), and the exact format expected (Response dataclass with reasoning and action).	0.6	Effectively isolates the cognitive capability of delayed gratification (inhibitory control) from perceptual (visual) challenges in a text format.	1.0	Well-implemented Python code using official kaggle-benchmarks decorators, schema enforcement, and standard assertion tracking.	1.0	Excellent writeup outlining the demand hierarchy design, comparing vision, physics, and text tasks, and analyzing results.	4.0	64.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	Embodied Inhibitory Control - Text Only Control	0.7	Fully objective scoring verifying immediate GO action when no wait is required.	0.7	Clear state representation and instructions mapping actions (WAIT/GO) to expected outcomes.	0.6	Serves as an essential control task to detect if the model has a default bias toward waiting rather than active reasoning.	1.0	Clean code structure utilizing kbench wrappers and assertions.	1.0	Detailed explanation of why control conditions are necessary to rule out heuristics.	4.0	64.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	AnimalAI vision task (test)	0.7	Objective numeric verification of reward object counts from visual frames.	0.7	Clear instructions for counting goal items, using structured output response formats.	0.6	Isolates visual object discrimination as a prerequisite capability for the embodied delayed gratification task.	1.0	Robust image-input task design using kaggle-benchmarks image actors.	1.0	Thorough writeup justifying the cognitive decomposition of the benchmark.	4.0	64.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	AnimalAI vision task (control)	0.7	Scored programmatically on exact match of goal count (0 in control).	0.7	Clear prompting asking for counting predictions.	0.6	Ensures the model doesn't default to guessing positive counts and correctly identifies absent items.	1.0	Properly structured notebook code adhering to SDK guidelines.	1.0	Provides clear analysis of model failures in identifying empty or control scenes.	4.0	64.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	AnimalAI physics task	0.7	Objective MCQ evaluation with deterministically shuffled options.	0.7	Prompt explains the physics environment and specifies exact output structure (A, B, C, or D).	0.6	Isolates the capability to predict object trajectories (intuitive physics) which is a crucial component of delayed gratification.	1.0	Clean implementation including helper code for MCQ building, shuffling, and image inputs.	1.0	Detailed writeup showing how intuitive physics accuracy correlates with overall agent success.	4.0	64.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	AnimalAI physics task control	0.7	Objective exact match verification of MCQ response.	0.7	Clear visual prompts presenting flat or negative slopes to verify physical reasoning.	0.6	Exposes model shortcuts by testing scenarios where objects do not roll or roll away.	1.0	Modular code reuse from the test condition tasks.	1.0	Thorough discussion on model reliance on heuristics when slope conditions change.	4.0	64.7
