task_id,task_name,task_url,notebook_url,crit1_correctness,crit2_problem_statement,crit3_documentation,crit4_model_coverage,crit5_discrimination,total_0_10,distinct_models,min_score,max_score,notes_crit1,notes_crit2,notes_crit3,notes_crit4,notes_crit5
43,Passage Summarization,https://www.kaggle.com/benchmarks/tasks/vijitsingh1/passage-summarization,https://www.kaggle.com/code/vijitsingh1/passage-summarization,0,0,0,0,0,0,0,,,"Model is called but only assertion is len(summary)>=20; checks non-emptiness, no ground truth for summary quality. Claim 'summarize' vs impl 'length' mismatch.","Prose is one sentence 'Evaluates an LLM's ability to summarize a short passage'; names capability but zero motivation, no gap/why.","No dataset provenance (hardcoded fictional passage), no markdown, scoring (20-char min) undocumented; must reverse-engineer code.",0 distinct models run,<=1 model -> 0
235,Logic Puzzle: 1 = 5,https://www.kaggle.com/benchmarks/tasks/mehrantgn/logic-puzzle-1-5,https://www.kaggle.com/code/sripalthilakraj/logic-puzzle-1-5,1,1,1,0,0,3,0,,,"Real model graded via llm.prompt, but ground truth '1' is contestable (pattern implies 25) and assert_in substring lets 'answer will be 10/15' falsely pass.","Prose names capability (trick logic puzzle, first line gives answer) but only restates puzzle; no broader motivation, why-it-matters, or gap.","Only docstrings/one-line comment; no dataset provenance, scoring rules, edge cases, or walkthrough markdown; reader must read code.",0 distinct models run,<=1 model -> 0
264,Convert XKCD frame to SVG,https://www.kaggle.com/benchmarks/tasks/dynamicwebpaige/convert-xkcd-frame-to-svg,https://www.kaggle.com/code/limakaggle/convert-xkcd-frame-to-svg,1,0,1,0,0,2,0,,,Real model graded: llm.prompt(image) checked for renderable SVG + normalized text exact-match vs hardcoded GT. Genuine but fragile exact-match + crude binary judge prompt (confounds).,"Prose is one sentence restating the title ('Evaluates LLM ability to convert XKCD frame to SVG'); no motivation, broader question, or gap. Near-empty description.","Docstring names source (xkcd 386 Duty Calls, image URL); but no markdown cells, no methodology/scoring/threshold explanation. Reader must reverse-engineer assertions.",0 distinct models run,<=1 model -> 0
278,Count standing people in image,https://www.kaggle.com/benchmarks/tasks/mtaesiri/count-standing-people-in-image,https://www.kaggle.com/code/vijitsingh1/count-standing-people-in-image,1,0,1,0,0,2,0,,,"Real model graded: image sent, prompted, count parsed, assert_equal to 2. But single n=1 hardcoded GT, exact match, 'standing' ambiguous = fragile verification.","Prose only restates title: 'Evaluates ability to count people in an image' + image URL. No motivation, no broader question, no gap. Near-empty.","Image source URL given (partial provenance). No notebook markdown, no scoring/protocol explanation, no rationale for answer=2; scoring inferable only from code.",0 distinct models run,<=1 model -> 0
283,Convert NIfTI to NumPy array,https://www.kaggle.com/benchmarks/tasks/sharoncris/convert-nifti-to-numpy-array,https://www.kaggle.com/code/vijitsingh1/convert-nifti-to-numpy-array,2,1,1,0,0,4,0,,,"Model writes code; executed and verified via isinstance ndarray + np.array_equal vs known synthesized array. Deterministic, verifiable GT, tightly aligned to claimed coding capability.","Prose names capability (write fn converting NIfTI to NumPy) but minimal motivation, no broader question or gap.",Notebook has docstring/inline comments and pip step; method readable but no markdown walkthrough or explicit scoring/dataset narrative. Partial.,0 distinct models run,<=1 model -> 0
410,Poker Scenario Fold,https://www.kaggle.com/benchmarks/tasks/brandonkh/poker-scenario-fold,https://www.kaggle.com/code/brandonkh/fold-simulator,1,1,1,0,0,3,0,,,"Real model graded, but ground truth (fold KJo vs SB 3bet) is debatable not unambiguous, and assert_in('fold') substring also passes 'do not fold' negations. Fragile.",One sentence names capability (poker fold advice) with minimal motivation; no broader question or gap.,"Only the one-line description + expectation string; no dataset/protocol writeup, but scoring logic is self-evident in code. Minimal.",0 distinct models run,<=1 model -> 0
421,aime_task,https://www.kaggle.com/benchmarks/tasks/benchmarkler/aime-task,https://www.kaggle.com/code/benchmarkler/aime-2025,1,0,0,2,2,5,59,0.0,1.0,"Real model graded: llm.prompt then extract_answer vs parse_answer/check_answers (sympy equals) on AIME GT. Confounds: hardcoded manual/complete mappers keyed to outputs, boxed-format dependence.",Task page description is '(empty description)'; no problem statement at all = 0.,No task page prose and zero markdown cells (all code); no dataset provenance/schema or documented scoring rules; reader must reverse-engineer parsing.,59 distinct models run,score gap 0.0->1.0 vs eps=0.05 (pass)
519,Name 100 Mammal Species,https://www.kaggle.com/benchmarks/tasks/mylesoneill/name-100-mammal-species,https://www.kaggle.com/code/mylesoneill/name-100-mammals,1,0,0,0,0,1,0,,,"Model genuinely produces 100 names, but ground truth is an LLM judge (gemini-2.5-pro) ruling each name real—no verifiable list, judge can err; also assert_true return misused for count (buggy).",Description empty; only title conveys intent.,"Single code cell, no markdown, no doc of method/scoring/dataset; reader must read code.",0 distinct models run,<=1 model -> 0
525,Chess Simple Prompt to Avoid Checkmate with many moves,https://www.kaggle.com/benchmarks/tasks/bobfraserg/chess-simple-prompt-to-avoid-checkmate-with-many-moves,https://www.kaggle.com/code/bobfraserg/benchmark-task-simple-avoid-checkmate-more-moves,1,0,0,0,0,1,0,,,"Real model graded vs a fixed FEN with an author-curated acceptable-move list (3 trials). Verifiable-ish but exact algebraic match (no normalization) and move-list correctness is asserted, not proven.",Description empty; only title.,"Notebook is largely an embedded board image; no methodology/scoring prose, no dataset doc.",0 distinct models run,<=1 model -> 0
564,AI on Biology,https://www.kaggle.com/benchmarks/tasks/juniam/ai-on-biology,https://www.kaggle.com/code/juniam/ai-on-biology-olympiad-questions,1,0,0,2,2,5,40,0.0,1.0,Real model graded (llm.prompt) vs verifiable MCQ answer C; but n=1 and fragile lowercase substring match needing exact semicolon phrasing -> moderate confound.,"Prose is only 'Does the LLM know general knowledge about biology?'; names capability vaguely but no motivation, no gap, no broader-question link.","Notebook is template boilerplate; no dataset provenance, no scoring/methodology docs, no markdown; scoring must be reverse-engineered from code.",40 distinct models run,score gap 0.0->1.0 vs eps=0.05 (pass)
578,xquad_in_task,https://www.kaggle.com/benchmarks/tasks/aminmohamedmohami/xquad-in-task,https://www.kaggle.com/code/aminmohamedmohami/kaggle-indic-gen-bench-xquad-in-benchmark,1,0,1,2,2,6,22,0.15164305076115758,79.96100024528228,"Real model called via llm.prompt, graded with sacrebleu chrF (beta=2) vs XQuAD-IN ref answer[0].text; aligned but chrF is soft overlap w/ minimal normalization (first-line strip) = moderate confound.","Prose is only one sentence: 'Defines the Kaggle evaluation task for XQuAD-IN.' No capability detail, motivation, or gap; near-empty.","Notebook has code-comment section headers, dataset path, chrF metric, per-lang aggregation, but no markdown prose on provenance/schema/scoring rationale or walkthrough; task prose empty.",22 distinct models run,score gap 0.15164305076115758->79.96100024528228 vs eps=5.0 (pass)
618,Name 100 Reptile Species,https://www.kaggle.com/benchmarks/tasks/mylesoneill/name-100-reptile-species,https://www.kaggle.com/code/mylesoneill/name-100-reptiles,1,0,0,0,0,1,0,,,"Model genuinely produces names, but verification is LLM-judge (gemini-2.5-pro) not a verifiable DB; hallucination-prone for scientific names; conflates exact 100-line formatting.",Task page description is empty.,No markdown or doc of dataset/scoring beyond inline code; reader reverse-engineers.,0 distinct models run,<=1 model -> 0
